org_name,type,website,contact_email,source,notes,archive_collection,address,ein,irs_name,irs_city,match_confidence,match_score,first_year,last_year,years_filed,filing_gaps,comp_jump_years,latest_revenue,latest_employees
Esperanza,CDC,,,Ben roster,,,,232552707,Nueva Esperanza,Philadelphia,high,0.75,2011,2023,13,,2016; 2019,13454615,
Frankford CDC,CDC,,,Ben roster,,,"Daral Building 4667-69 Paul Street, 2nd Floor Philadelphia, PA 19124",232738932,Frankford Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,2017; 2018; 2019; 2020; 2021; 2022; 2023,3208911,
Germantown Restoration CDC,CDC,,,Ben roster,,,"5539 Germantown Ave, Philadelphia, PA, United States, 19144",,,,none,0.0,,,0,,,,
Germantown United CDC,CDC,,,Ben roster,,,"5320 Germantown Avenue Philadelphia, Pennsylvania 19144 USA",453739378,Germantown United Community Development Corporation,Philadelphia,high,1.0,2015,2023,9,,2016; 2020,606368,
Habitat for Humanity Philadelphia,CDC,,,Ben roster,,,"1829 N 19th St, Philadelphia, PA 19121",421580163,Habitat For Humanity International Inc,Philadelphia,medium,0.69,2011,2023,13,,,8309601,
HACE,CDC,,,Ben roster,,,47 N. 5th Street in North Philadelphia,,,,none,0.42,,,0,,,,
HELP Development Corporation,CDC,,,Ben roster,,,115 E. 13th St.,,,,none,0.0,,,0,,,,
Heritage CDC,CDC,,,Ben roster,,,,232698107,Heritage Community Development Corporation,Philadelphia,high,1.0,,,0,,,,
HMC Squared Community Association,CDC,,,Ben roster,,,,473084174,Hmc Squared Community Association Inc,Philadelphia,high,1.0,2014,2014,1,,,0,
HopePHL,CDC,,,Ben roster,,,"325 N. 39th Street, Philadelphia",232017882,Hopephl,Philadelphia,high,1.0,2011,2023,13,,2012; 2013; 2014; 2015; 2016; 2018; 2023,8006243,
Housing Enrichment Renaissance Board CDC,CDC,,,Ben roster,,,,,,,none,0.0,,,0,,,,
HumanGood East,CDC,,,Ben roster,,,"1900 Huntington Drive Duarte, CA 91010",232828862,Humangood East,Lafayette Hills,high,1.0,2016,2023,7,2020->2022,,0,
ICPIC New Africa Center CDC,CDC,,,Ben roster,,,,,,,none,0.0,,,0,,,,
Impact Services Corporation,CDC,,,Ben roster,,,,232087348,Impact Services Corp,Philadelphia,high,1.0,2011,2023,13,,2014; 2016; 2019; 2020; 2021; 2022,13359196,
Inglis Housing Corporation,CDC,,,Ben roster,,,,232326550,Inglis Housing Corporation,Philadelphia,high,1.0,2011,2023,13,,2023,695036,
Korean Community Development Services Center,CDC,,,Ben roster,,,"6055 North 5th Street, Philadelphia",232303766,Korean Community Development Services Center,Philadelphia,high,1.0,2011,2023,13,,2019; 2020; 2021; 2022; 2023,1710276,
Lancaster Avenue 21st Century Business Association CDC (LA21),CDC,,,Ben roster,,,,900502551,Lancaster Avenue 21st Century Business Association,Philadelphia,high,0.94,2015,2023,7,2016->2019,2020; 2021; 2022; 2023,935900,
Lower North Philadelphia CDC,CDC,,,Ben roster,,,,823231994,Lower North Philadelphia Community Development Corporation,Philadelphia,high,1.0,2020,2020,1,,,52494,
Mission First Housing Group,CDC,,,Ben roster,,,"48 Arch Street, 2nd Floor Philadelphia",455470563,Mission First Housing Group Inc,Philadelphia,high,1.0,2014,2023,10,,,815573,
Mt. Airy CDC,CDC,,,Ben roster,,,7100 Germantown Ave,222526396,Mt Airy Usa,Philadelphia,high,0.78,2010,2023,14,,2011; 2012; 2022; 2023,1649524,
Mt. Vernon Manor CDC,CDC,,,Ben roster,,,,256084074,Mt Vernon Youth Development Group,Elizabeth,high,0.73,2011,2023,12,2013->2015,,285039,
New Kensington CDC,CDC,,,Ben roster,,,17 Frankford Ave,222610536,New Kensington Community Development Corp,Philadelphia,high,1.0,2011,2023,13,,2017; 2023,3943941,
Newbold CDC,CDC,,,Ben roster,,,"1437 West Passyunk Avenue, Philadelphia, PA 19145",542184458,Newbold Community Development Corporation,Philadelphia,high,1.0,2016,2023,6,2019->2022,,6708,
NewCourtland,CDC,,,Ben roster,,,"6970 Germantown Avenue, Philadelphia, PA 19119",264194368,Newcourtland Properties,Philadelphia,medium,0.69,2009,2023,15,,,334557,
Nicetown CDC,CDC,,,Ben roster,,,4414 Germantown Ave. 3rd Floor – Suite A Philadelphia,233061705,Nicetown Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,2012; 2018; 2019; 2020,3092233,
Northwest CLT Corporation,CDC,,,Ben roster,,,"45 E. Penn Street A-2, Philadelphia, PA 19144-2346",872176243,Northwest Clt Corporation,Philadelphia,high,1.0,,,0,,,,
Ogontz Ave Revitalization Corporation,CDC,,,Ben roster,,,"2502 W. Cheltenham Avenue Philadelphia, PA 19150",,,,none,0.0,,,0,,,,
Old City District,CDC,,,Ben roster,,,"231 Market Street, Philadelphia",232176305,Old City Civic Association,Philadelphia,high,0.77,2011,2023,13,,,11342,
Olney Community Collaborative,CDC,,,Ben roster,,,5458 N. 5th Street,852575923,Olney Community Collaborative,Philadelphia,high,1.0,,,0,,,,
Overbrook West Neighbors CDC,CDC,,,Ben roster,,,,824449937,Overbrook West Neighbors,Philadelphia,high,1.0,2019,2023,5,,,410265,
Oxford Circle Christian Community Development Association (OCCCDA),CDC,,,Ben roster,,,900 E Howell Street – Building B Philadelphia,204984694,Oxford Circle Christian Communitydevelopment Association Inc,Philadelphia,medium,0.7,2011,2023,12,2019->2021,2023,2992304,
Park to Broad Arts & Business District,CDC,,,Ben roster,,,"2914 W Girard Avenue, Philadelphia, PA 19130",,,,none,0.0,,,0,,,,
Partnership CDC,CDC,,,Ben roster,,,,232711533,The Partnership Cdc,Philadelphia,high,1.0,2011,2015,5,,2013; 2014; 2015,381694,
Passyunk Area Revitalization Corporation,CDC,,,Ben roster,,,,,,,none,0.0,,,0,,,,
Philadelphia Chinatown Development Corporation,CDC,,,Ben roster,,,,237439723,Philadelphia Chinatown Development Corp Chinatown Community Park,Philadelphia,high,0.75,2011,2023,13,,,2537285,
ProjectHOME,CDC,,,Ben roster,,,,232555950,Project Home,Philadelphia,high,0.96,2011,2023,13,,2012; 2017; 2023,73793942,
SEAMAAC,CDC,,,Ben roster,,,1711 S Broad Street Philadelphia,,,,none,0.28,,,0,,,,
Sister Clara Muhammad CDC,CDC,,,Ben roster,,,"4700 Wyalusing Avenue, Philadelphia",900405460,Sister Clara Muhammad Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,,44388,
Smart Futures CDC,CDC,,,Ben roster,,,,300263715,Smart Futures,Pittsburgh,high,1.0,2011,2023,13,,2014; 2020,1561341,
South Kensington Community Partners,CDC,,,Ben roster,,,,222446719,South Kensington Community Partners Inc,Philadelphia,high,1.0,2011,2023,13,,,338847,
South Street Headhouse District,CDC,,,Ben roster,,,407 South Street,232844044,South Street Headhouse District Foundation,Philadelphia,high,0.85,,,0,,,,
Southwest CDC,CDC,,,Ben roster,,,"6328 Paschall Ave. Philadelphia, PA 19142",232491247,Southwest Community Development Corp,Philadelphia,high,1.0,2011,2023,13,,2012; 2015; 2017,1870132,
Tacony CDC,CDC,,,Ben roster,,,"4823 Longshore Ave, #101, Philadelphia, PA 19135",233052060,Tacony Community Development Corporation,Philadelphia,high,1.0,2012,2024,14,,2023,414614,
The Enterprise Center CDC,CDC,,,Ben roster,,,,300002632,The Enterprise Center Community Development Corporation,Philadelphia,high,1.0,2012,2023,12,,2022; 2023,3539141,
The Maple Corporation,CDC,,,Ben roster,,,,236432397,Maple Corporation,Philadelphia,high,1.0,2011,2023,13,,2018; 2019; 2021,205245,
Tioga United,CDC,,,Ben roster,,,"1515 Arch St. 13th Floor Philadelphia, PA 19102",233101958,Tioga United Inc,Philadelphia,high,1.0,2010,2023,10,2015->2020,2023,383077,
Women's Community Revitalization Project (WCRP),CDC,,,Ben roster,,,"100 West Oxford Street, E-2300, Philadelphia, PA 19122 tel: 215.627.5550",222840188,Womens Community Revitalization Project,Philadelphia,high,0.91,2011,2023,13,,2023,11408395,
Wynnefield Overbrook Revitalization Corporation,CDC,,,Ben roster,,,,830444104,Wynnfield Overbrook Revitalization Corporation,Philadelphia,high,0.99,2011,2023,13,,,337172,
Xiente,CDC,,,Ben roster,,,"174 Diamond Street, Philadelphia, PA 19122",239233412,Xiente,Philadelphia,high,1.0,2010,2023,14,,2012; 2017; 2018; 2019; 2020,9936492,
ACHIEVEability,CDC,,,City CDC program,,,"5901 Market Street, Suite 410, Philadelphia, PA 19139",232215980,Achieveability,Philadelphia,high,1.0,2011,2022,12,,2013; 2014; 2015; 2016,842709,
Fairmount CDC,CDC,,,City CDC program,"Per Ben's research, this org's activity continued as Park to Broad Arts & Business District (already tracked separately on this roster).",,,233094818,Fairmount Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,2012; 2021; 2022; 2023,623034,
Francisville Neighborhood Development Corporation,CDC,,,City CDC program,,,"1608 Ridge Avenue, Philadelphia, PA 19130, (215) 282-3010 Office",571164331,Francisville Neighborhood Development Corporation,Philadelphia,high,1.0,2011,2023,13,,2012; 2018; 2023,708650,
Manayunk Development Corporation,CDC,,,City CDC program,,,"106 Grape Street,, Philadelphia, PA 19127",,,,none,0.0,,,0,,,,
Mayfair CDC,CDC,,,City CDC program,,,"2990 St. Vincent Street, Philadelphia, PA 19149",233062736,Mayfair Community Development Corp,Philadelphia,high,1.0,2010,2023,14,,,75742,
South of South Neighborhood Association,CDC,,,City CDC program,,,,232555347,South Of South Neighborhood Association Inc,Philadelphia,high,1.0,2011,2023,13,,,237373,
Spring Garden CDC,CDC,,,City CDC program,,,"601 North 17th Street, Philadelphia, Pennsylvania 19130, United States",232772462,Spring Garden Community Development Corporation,Philadelphia,high,1.0,2010,2023,14,,2011; 2013; 2022; 2023,1337844,
Allegheny West Foundation,CDC,,,City CDC program,,,4527 N. Broad Street,231924667,Allegheny West Foundation,Philadelphia,high,1.0,2011,2022,12,,2021,1355545,
Village of Arts and Humanities,CDC,,,City CDC program,,,"2544 Germantown Ave. Philadelphia, PA 19133",223045318,The Village Arts And Humanities,Philadelphia,high,1.0,2011,2023,13,,,5130521,
Advocate Community Development Corporation,CDC,,,Temple archives,"PACDC member CDC, active 2000-2004 per PACDC's own records (Temple University Special Collections Research Center).",PACDC Records (SCRC 241),,231706238,Advocate Community Development Corporation,Philadelphia,high,1.0,,,0,,,,
Calvary CDC,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,883037723,Calvary Community Cdc Inc,Philadelphia,high,1.0,,,0,,,,
Faith CDC,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,043673651,Faith Unity Inc,Bensalem,medium,0.62,2011,2023,13,,,488157,
Frankford United Neighbors CDC,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,237217565,Frankfort United Presbyterian Chruch,Hookstown,medium,0.61,,,0,,,,
Greater Germantown Housing Development Corporation,CDC,,,Temple archives,"Active by 1976, succeeding Central Germantown Community Development Corporation; ran housing rehab and homeowner technical-assistance programs into the early 1990s. 455-page records collection at Temple's Special Collections Research Center.",Germantown Settlement Records (KER0314221),,232024975,Greater Germantown Housing Development Corp Gghdc,Philadelphia,high,0.9,2011,2020,7,2014->2018,,-3817500,
Hunting Park Community Development Corporation,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,264300365,199 Hunting Park,Philadelphia,high,0.86,2011,2023,13,,,8274933,
Jefferson Manor Community Development Corporation,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,,,,none,0.3,,,0,,,,
Mt. Airy Village Development Corporation,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,260898815,Mt Airy Transit Village Inc,Philadelphia,high,0.79,2010,2024,12,2013->2015; 2019->2022,,583956,
People's Emergency Center CDC,CDC,,,Temple archives,"PACDC member CDC with retail-analysis and general records, 2002-2007, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,,,,none,0.0,,,0,,,,
Sheridan Community Development Corporation,CDC,,,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,,,,none,0.42,,,0,,,,
West Oak Lane CDC,CDC,,,Temple archives,"PACDC member CDC; wrote a neighborhood commercial-corridor plan in 1995, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,232142704,West Oak Lane Community Development Corp,Philadelphia,high,1.0,2012,2023,11,2016->2018,2019; 2020; 2021,257628,
Brewerytown CDC,CDC,,,Temple archives,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,473603645,Brewerytown Garden,Philadelphia,high,0.76,,,0,,,,
Hawthorne Community Development Corporation,CDC,,,Temple archives,"Wrote a neighborhood plan in 1995, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,,,,none,0.0,,,0,,,,
Roxborough Development Corporation,CDC,,,Temple archives,"PACDC member CDC, active as of 2005 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,232705347,Roxborough Development Corporation,Philadelphia,high,1.0,2011,2023,12,2014->2016,2014; 2016; 2018,793385,
Sunrise CDC,CDC,,,Temple archives,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,932447863,Sunrise Aid,Mill Creek,high,0.78,,,0,,,,
Yorktown CDC,CDC,,,Temple archives,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),,232642355,Yorktown Community Development Corporation,Philadelphia,high,1.0,2011,2023,12,2012->2014,2012; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,184758,
Tenth Memorial Non-Profit Development Corporation,CDC,,,Temple archives,"Faith-based CDC tied to Tenth Memorial Baptist Church; PACDC correspondence lists it as a non-member org, 1993-1994.",PACDC Records (SCRC 241),,222538855,Tenth Memorial Nonprofit Development Corporation,Philadelphia,high,0.98,2011,2023,13,,,1034456,
Logan Community Development Corporation,CDC,,,Temple archives,"Named in the Regional Council of Neighborhood Organizations (RCNO) records, 1986.",Regional Council of Neighborhood Organizations Records (Acc 658 et al.),,872025770,Olivet Of Logan Community Development Corporation,Philadelphia,medium,0.59,,,0,,,,
Southwest Germantown CDC,CDC,,,Temple archives,"Named in the Regional Council of Neighborhood Organizations (RCNO) records, 1986.",Regional Council of Neighborhood Organizations Records (Acc 658 et al.),,,,,none,0.0,,,0,,,,
East of Broad Community Development Corporation,CDC,,,Temple archives,Named in the Kensington Action Now records at Temple's Special Collections Research Center.,Kensington Action Now Records (Acc 705),,,,,none,0.43,,,0,,,,
South Philadelphia Community Development Corporation,CDC,,,Temple archives,"Named in the West Philadelphia Corporation records, active 1967-1969; likely long dissolved.",West Philadelphia Corporation Records (Acc 350 et al.),,991321510,Ipul South Philadelphia Inc,Philadelphia,high,0.88,,,0,,,,
Central Germantown Community Development Corporation,CDC,,,Temple archives,Predecessor/counterpart to Greater Germantown Housing Development Corporation; own minutes and inter-org agreements survive through at least 1988.,Germantown Settlement Records (KER0314221),,232888616,West Central Germantown Neighbors,Philadelphia,medium,0.71,,,0,,,,
First Baptist Church of Paschall Development Corporation,CDC,,,Temple archives,"Faith-based CDC; filed a statement of need with Greater Germantown Housing Development Corporation, 1990.",Germantown Settlement Records (KER0314221),,231365253,First Baptist Church,Philadelphia,high,0.82,,,0,,,,
Germantown Settlement,CDC,,,Temple archives,"Founded 1934 from the merger of Morton Street Day Nursery (est. 1884) and Germantown Community Center (est. 1920). Grew into one of Philadelphia's largest CDCs before financial and governance troubles led to its collapse and dissolution in the 2000s. 455-page records collection at Temple, the largest in this find.",Germantown Settlement Records (KER0314221),,,,,none,0.0,,,0,,,,
Weccacoe Development Association,CDC,,,Temple archives,Founded 1985 to build and rehab low- and moderate-income housing and clear vacant properties in the Weccacoe (Queen Village/Bella Vista) area.,Weccacoe Development Association Records (Acc 932),,222646975,Weccacoe Development Association,Philadelphia,high,1.0,2011,2015,2,2011->2015,,0,
Olde Kensington Redevelopment Corporation,CDC,,,Temple archives,"Chartered 1968 to develop low-cost housing in Kensington. Formed O.K. Improvement Inc. (1979) and Olde Kensington Senior Housing Associates (1982), which built Sylvia Barg Plaza (opened 1986) and dissolved after selling the building in 2014.",Olde Kensington Senior Housing Associates Records (JL0503221),,834158522,Olde & South Kensington Green Space,Philadelphia,medium,0.65,2019,2023,5,,,5114,
Kensington Area Revitalization Project,CDC,,,Temple archives,"Spun out of the Kensington Action Now coalition on 1980-05-09 to acquire, renovate, and sell abandoned properties.",Kensington Action Now Records (Acc 705),,844037072,Fishtown Kensington Area Business Improvement District Inc,Philadelphia,medium,0.52,2020,2023,4,,2021; 2023,883529,
Socca Community Development Corporation,CDC,,,Temple archives,"PACDC correspondent (contact: Patricia Evans), 1994; no further detail found in the archives.",PACDC Records (SCRC 241),,,,,none,0.0,,,0,,,,
West Philadelphia Economic Development Corporation,CDC,,,Temple archives,"Named in PACDC's 1994 records; distinct from West Philadelphia Partnership/Partnership CDC, no further detail found.",PACDC Records (SCRC 241),,844201970,West Philadelphia Community Development Corporation,Philadelphia,high,0.79,,,0,,,,
Friends Rehabilitation Program,CDC,,,PACDC member list,"Quaker-based affordable housing CDC operating 40+ years, with properties in Belmont, East/West Poplar, University City, and Cobbs Creek. Confirmed as a current PACDC CDC member; not previously on this roster.",,"704 W Girard Ave, Philadelphia, PA 19123",236398764,Friends Rehabilitation Program Inc,Philadelphia,high,1.0,2011,2023,13,,2020; 2021,6289212,
Strawberry Mansion CDC,CDC,,,Regional Foundation partners page,Founded 2004 in North Philadelphia's Strawberry Mansion neighborhood. Won a LISC Philadelphia award for preserving historic homes and fighting resident displacement; represents the community in over $500M of development.,,"704 W Girard Ave., Philadelphia, PA 19123",061734513,Strawberry Mansion Community Development Corporation Inc,Philadelphia,high,1.0,2008,2022,10,2012->2018,2022,344040,
Urban Resources Development Corporation,CDC,,,Ben roster,"Northwest Philadelphia interfaith nonprofit (managed by ten churches) stabilizing housing in Germantown, Mt. Airy, and East/West Oak Lane through senior/low-income home repair and vacant-house rehab. Joseph Waldo has led it as Executive Director since 2002.",,"6001 Germantown Avenue, Philadelphia, PA 19144",232017912,Urban Resources Development Corporation,Philadelphia,high,1.0,2011,2023,13,,,109445,
Eastwick United CDC,CDC,,,Ben roster,"Serves the Eastwick neighborhood, active in flood-recovery organizing (Tropical Storm Isaias) and long-term flood mitigation advocacy. Carolyn Moseley serves as consulting executive director since 2023.",,,863954786,Eastwick United Cdc,Philadelphia,high,1.0,2022,2023,2,,,275697,
