org_name,address,lat,lon,status
South Street Headhouse District,407 South Street,39.9417325,-75.1494182,ok (re-geocoded with zip)
Southwest CDC,"6328 Paschall Ave. Philadelphia, PA 19142",39.9257638,-75.2311153,ok
Tacony CDC,"4823 Longshore Ave, #101, Philadelphia, PA 19135",40.0244205,-75.0415679,ok (cleaned address)
The Enterprise Center CDC,"4548 Market Street, Philadelphia, PA 19139",39.9583323,-75.2121821,ok
The Maple Corporation,"1617 John F Kennedy Blvd Ste 1560, Philadelphia, PA 19103",39.9541246,-75.1674867,ok (cleaned address)
Tioga United,"1515 Arch St. 13th Floor Philadelphia, PA 19102",39.9551450,-75.1658218,ok (cleaned address)
Women's Community Revitalization Project (WCRP),"100 West Oxford Street, E-2300, Philadelphia, PA 19122 tel: 215.627.5550",39.9740012,-75.1355427,ok (cleaned address)
Wynnefield Overbrook Revitalization Corporation,"5600 City Ave, Philadelphia, PA 19131",39.9935304,-75.2396382,ok
Xiente,"174 Diamond Street, Philadelphia, PA 19122",39.9812411,-75.1352723,ok
ACHIEVEability,"5901 Market Street, Suite 410, Philadelphia, PA 19139",39.9618150,-75.2389270,ok (cleaned address)
Fairmount CDC,"2837 W Girard Ave, Philadelphia, PA 19130",39.9745187,-75.1824707,ok
Francisville Neighborhood Development Corporation,"1608 Ridge Avenue, Philadelphia, PA 19130, (215) 282-3010 Office",39.9692210,-75.1638011,ok (cleaned address)
Manayunk Development Corporation,"106 Grape Street,, Philadelphia, PA 19127",40.0257275,-75.2233595,ok
Mayfair CDC,"2990 St. Vincent Street, Philadelphia, PA 19149",40.0408022,-75.0527105,ok
South of South Neighborhood Association,"1901 Christian St, Philadelphia, PA 19146",39.9412134,-75.1743534,ok
Spring Garden CDC,"601 North 17th Street, Philadelphia, Pennsylvania 19130, United States",39.9651504,-75.1656018,ok
Allegheny West Foundation,4527 N. Broad Street,40.0221507,-75.1480985,ok
Village of Arts and Humanities,"2544 Germantown Ave. Philadelphia, PA 19133",39.9908966,-75.148511,ok
Advocate Community Development Corporation,"1808 W Diamond St, Philadelphia, PA 19121",39.985511,-75.1633263,ok
Calvary CDC,,,,no address
Faith CDC,"108 E Price St, Philadelphia, PA 19144",40.0377794,-75.1739898,ok
Frankford United Neighbors CDC,,,,no address
Greater Germantown Housing Development Corporation,"5538 Wayne Ave Ste C, Philadelphia, PA 19144",40.0311180,-75.1780110,ok (cleaned address)
Hunting Park Community Development Corporation,"3961 N 9th Street, Philadelphia, PA 19129",40.0126126,-75.1416304,ok
Jefferson Manor Community Development Corporation,,,,no address
Mt. Airy Village Development Corporation,"6703 Germantown Ave, Suite 200, Philadelphia, PA 19119",40.0520460,-75.1851107,ok
People's Emergency Center CDC,"325 N 39th Street, Philadelphia, PA 19104",39.9602905,-75.1998374,ok
Sheridan Community Development Corporation,,,,no address
West Oak Lane CDC,"7300-02 Ogontz Ave, Philadelphia, PA 19138",40.0650975,-75.1553561,ok
Brewerytown CDC,"3000 W Master Street, Philadelphia, PA 19121",39.9770571,-75.1818453,"ok (neighborhood-level, street address not found)"
Hawthorne Community Development Corporation,"712 S 12th St, Philadelphia, PA 19147",39.9421932,-75.1621067,ok
Roxborough Development Corporation,"6120 Ridge Avenue, Philadelphia, PA 19128",40.0337781,-75.2159002,ok
Sunrise CDC,"4244 Old York Rd, Philadelphia, PA 19140",40.0180093,-75.1474987,ok
Yorktown CDC,"1300 W. Jefferson St, Philadelphia, PA 19122",39.975508,-75.156484,ok
Tenth Memorial Non-Profit Development Corporation,"1999 Ridge Ave, Philadelphia, PA 19121",39.9753034,-75.1679385,ok
Logan Community Development Corporation,"4542 N 11th St, Philadelphia, PA 19140",40.0220269,-75.1432029,ok
Southwest Germantown CDC,"5004 Wayne Ave, Philadelphia, PA 19144",40.0254044,-75.1678894,ok
East of Broad Community Development Corporation,,,,no address
South Philadelphia Community Development Corporation,,,,no address
Central Germantown Community Development Corporation,,,,no address
First Baptist Church of Paschall Development Corporation,"2210 S 71st St, Philadelphia, PA 19142",39.9187858,-75.2423233,ok
Germantown Settlement,"324 E High St, Philadelphia, PA 19144",40.044173,-75.1727922,ok
Weccacoe Development Association,,,,no address
Olde Kensington Redevelopment Corporation,"1313 N 4th St, Philadelphia, PA 19122",39.9715821,-75.1425457,ok
Kensington Area Revitalization Project,"3034 Frankford Ave, Philadelphia, PA 19134",39.9910678,-75.1148146,ok
Socca Community Development Corporation,,,,no address
West Philadelphia Economic Development Corporation,,,,no address
Friends Rehabilitation Program,"704 W Girard Ave, Philadelphia, PA 19123",39.9701679,-75.1484667,ok
Strawberry Mansion CDC,"704 W Girard Ave., Philadelphia, PA 19123",39.9701679,-75.1484667,ok
Urban Resources Development Corporation,"6001 Germantown Avenue, Philadelphia, PA 19144",40.0400552,-75.177688,ok
Eastwick United CDC,"PO Box 33422, Philadelphia, PA 19142",39.8916933,-75.2449472,"ok (neighborhood-level, PO Box only)"
