report_year,org_name,start_year,amount
2017,Wynnefield Overbrook Revitalization Corp.,2010,100000
2017,Manayunk Development Corporation,2010,100000
2017,Community Design Collaborative,2012,85000
2017,Frankford Community Development Corporation,2012,85000
2017,Southwest Community Development Corporation,2012,85000
2017,Philadelphia Local Initiatives Support Corporation,2012,85000
2017,ACHIEVEability,2012,85000
2017,East Falls Development Corporation,2012,85000
2017,New Kensington Community Development Corporation,2012,85000
2017,People's Emergency Center CDC,2012,85000
2017,Philadelphia Association of Community Development Corporations,2012,85000
2017,Roxborough Development Corporation,2012,85000
2017,Impact Services Corporation,2012,85000
2017,Central Philadelphia Development Corporation,2012,85000
2017,The Allegheny West Foundation,2012,85000
2017,Spring Garden Community Development Corporation,2013,85000
2017,Mayfair Community Development Corporation,2013,85000
2017,East Passyunk Avenue Improvement District,2013,85000
2017,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2017,Project H.O.M.E.,2013,85000
2017,The Village of Arts and Humanities,2013,85000
2017,Mt. Airy U.S.A.,2013,85000
2017,Nueva Esperanza Inc.,2013,85000
2017,Beech Interplex Inc.,2013,85000
2017,Delaware River Waterfront Corporation,2013,85000
2017,Chestnut Hill Community Development Corporation,2013,85000
2017,Philabundance,2013,85000
2017,Common Market Philadelphia Inc.,2013,85000
2017,Philadelphia Chinatown Development Corporation,2014,85000
2017,Schuylkill River Development Corporation,2014,85000
2017,Fairmount Community Development Corporation,2014,85000
2017,Tacony Community Development Corporation,2014,85000
2017,Regional Housing Legal Services,2014,85000
2017,Francisville Neighborhood Development Corporation,2015,100000
2017,Asociación Puertorriqueños En Marcha Inc,2015,100000
2017,University City District,2015,100000
2017,South of South Neighborhood Association,2015,100000
2017,Old City Community Fund,2017,100000
2017,Delaware River City Corporation,2017,100000
2018,The Enterprise Center Community Development Corporation,2009,100000
2018,Nicetown Community Development Corporation,2009,100000
2018,Ogontz Ave Revitalization Corporation,2009,100000
2018,Wynnefield Overbrook Revitalization Corp.,2010,100000
2018,Manayunk Development Corporation,2010,100000
2018,Community Design Collaborative,2012,85000
2018,Frankford Community Development Corporation,2012,85000
2018,Southwest Community Development Corporation,2012,85000
2018,Philadelphia Local Initiatives Support Corporation,2012,85000
2018,ACHIEVEability,2012,85000
2018,East Falls Development Corporation,2012,85000
2018,New Kensington Community Development Corporation,2012,85000
2018,People's Emergency Center CDC,2012,85000
2018,Philadelphia Association of Community Development Corporations,2012,85000
2018,Roxborough Development Corporation,2012,85000
2018,Impact Services Corporation,2012,85000
2018,Central Philadelphia Development Corporation,2012,85000
2018,Spring Garden Community Development Corporation,2013,85000
2018,Mayfair Community Development Corporation,2013,85000
2018,East Passyunk Avenue Improvement District,2013,85000
2018,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2018,Project H.O.M.E.,2013,85000
2018,The Village of Arts and Humanities,2013,85000
2018,Mt. Airy U.S.A.,2013,85000
2018,Nueva Esperanza Inc.,2013,85000
2018,Beech Interplex Inc.,2013,85000
2018,Delaware River Waterfront Corporation,2013,85000
2018,Chestnut Hill Community Development Corporation,2013,85000
2018,Philabundance,2013,85000
2018,Common Market Philadelphia Inc.,2013,85000
2018,Philadelphia Chinatown Development Corporation,2014,85000
2018,Schuylkill River Development Corporation,2014,85000
2018,Fairmount Community Development Corporation,2014,85000
2018,Tacony Community Development Corporation,2014,85000
2018,Regional Housing Legal Services,2014,85000
2018,Francisville Neighborhood Development Corporation,2015,100000
2018,Asociación Puertorriqueños En Marcha Inc,2015,100000
2018,University City District,2015,100000
2018,South of South Neighborhood Association,2015,100000
2018,Old City Community Fund,2017,100000
2018,Delaware River City Corporation,2017,100000
